film_id,film_title,gt_cols_camaradería_masculina_rancia,gt_excepcion_camaradería_masculina_rancia,gt_cols_insoportabilidad_prolongada,gt_excepcion_insoportabilidad_prolongada,gt_cols_control_emocional_artificial,gt_excepcion_control_emocional_artificial,gt_cols_personajes_diorama,gt_excepcion_personajes_diorama,gt_cols_caos_asfixiante,gt_excepcion_caos_asfixiante,gt_afinidad_resistencia_femenina,gt_afinidad_contemplación_inmersiva,gt_afinidad_ternura_y_empatía_radical,gt_afinidad_humanismo_social,gt_afinidad_vanguardia_y_simbolismo,gt_nota_global
the-souvenir-part-ii,41. The Souvenir: Part II,0,0.0,2,0.0,1,0.0,2,0.0,0,0.0,10,9,9,7,8,9.6
the-fallout,42. The Fallout,0,0.0,0,0.0,2,0.0,0,0.0,2,0.0,9,8,9,8,5,8.8
disobedience,43. Disobedience,0,0.0,4,1.0,3,0.0,1,0.0,0,0.0,9,7,8,7,6,8.5
ema,44. Ema,0,0.0,6,1.0,5,0.0,4,0.0,6,0.0,10,4,4,6,9,8.0
rara,45. Rara,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9,7,9,9,4,8.8
zama,46. Zama,2,1.0,5,1.0,0,0.0,0,0.0,2,0.0,6,10,5,9,10,9.5
amélie,47. Amélie,0,0.0,2,0.0,9,0.0,9,0.0,7,0.0,5,0,7,2,6,4.5
the-assassination,48. The Assassination...,0,1.0,5,1.0,4,0.0,4,0.0,0,0.0,2,10,6,7,8,8.5
columbus,49. Columbus,0,0.0,0,0.0,4,0.0,3,0.0,0,0.0,8,10,9,8,7,9.8
little-forest,50. Little Forest...,0,0.0,0,0.0,1,0.0,2,0.0,0,0.0,9,10,9,8,5,9.5
the-novelists-film,51. The Novelist's Film,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9,10,9,9,8,9.5
spring-summer,"52. Spring, Summer...",0,0.0,0,0.0,2,0.0,0,0.0,0,0.0,4,10,8,9,7,9.0
close-your-eyes,53. Close Your Eyes,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,10,9,9,8,9.5
manhattan,54. Manhattan,9,1.0,8,0.0,3,0.0,4,0.0,0,0.0,2,6,2,3,6,5.0
aguirre-the-wrath,"55. Aguirre, the Wrath...",0,1.0,8,1.0,0,0.0,0,0.0,0,0.0,3,9,2,8,10,8.5
melancholia,56. Melancholia,0,0.0,3,0.0,4,0.0,2,0.0,0,0.0,9,9,8,8,9,9.5
paterson,57. Paterson,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,10,10,9,7,9.8
personal-shopper,58. Personal Shopper,0,0.0,0,0.0,2,0.0,1,0.0,0,0.0,9,8,8,8,9,9.0
the-green-ray,59. The Green Ray,0,0.0,3,1.0,0,0.0,0,0.0,0,0.0,10,10,9,9,7,9.8
the-tree-of-life,60. The Tree of Life,0,0.0,5,1.0,6,0.0,4,0.0,3,0.0,8,10,9,8,10,9.2
ran,61. Ran,0,0.0,2,1.0,1,0.0,0,0.0,0,0.0,8,9,6,7,8,9.0
the-disciple,62. The Disciple,0,0.0,2,0.0,0,0.0,0,0.0,0,0.0,5,10,8,9,7,8.8
do-not-expect-too,63. Do Not Expect Too...,0,0.0,4,1.0,0,0.0,0,0.0,5,0.0,9,6,6,10,10,9.2
extraordinary-stories,64. Extraordinary Stories,0,0.0,0,0.0,0,0.0,0,0.0,2,0.0,4,8,7,7,10,8.5
pacifiction,65. Pacifiction,2,1.0,4,1.0,0,0.0,0,0.0,0,0.0,6,10,5,8,9,9.0
werckmeister-harmonies,67. Werckmeister Harmonies,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,10,8,9,10,10.0
winter-sleep,68. Winter Sleep,2,1.0,8,1.0,0,0.0,0,0.0,0,0.0,9,10,5,9,7,9.2
viola,69. Viola,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10,8,8,7,9,9.4
la-la-land,70. La La Land,1,0.0,2,0.0,8,0.0,7,0.0,2,0.0,5,3,5,2,3,5.5
cha-cha-real-smooth,66. Cha Cha Real Smooth,0,0.0,0,0.0,3,0.0,2,0.0,0,0.0,8,6,10,8,2,8.5
coraline,71. Coraline,0,0.0,0,0.0,3,0.0,4,0.0,0,0.0,9,7,8,6,9,8.8
jurassic-park,72. Jurassic Park,0,0.0,3,1.0,7,0.0,2,0.0,4,0.0,8,6,6,5,7,7.5
blade-runner,73. Blade Runner,0,0.0,0,0.0,5,0.0,7,0.0,0,0.0,4,10,6,7,9,8.5
the-royal-tenenbaums,74. The Royal Tenenbaums,0,0.0,6,1.0,8,0.0,10,0.0,0,0.0,6,5,7,5,7,6.8
triangle-of-sadness,75. Triangle of Sadness,0,0.0,8,1.0,4,0.0,0,0.0,5,0.0,7,6,2,4,7,7.0
rocky,76. Rocky,0,0.0,0,0.0,3,0.0,0,0.0,0,0.0,7,7,10,9,4,9.2
crouching-tiger,77. Crouching Tiger...,0,0.0,0,0.0,4,0.0,3,0.0,0,0.0,10,8,8,7,8,9.5
psycho,78. Psycho,0,0.0,0,0.0,8,0.0,2,0.0,0,0.0,6,7,5,5,9,8.0
the-master,79. The Master,2,1.0,8,1.0,4,0.0,0,0.0,0,0.0,7,9,8,8,9,9.3
the-end-of-evangelion,80. The End of Evangelion,0,1.0,5,0.0,0,0.0,0,0.0,8,1.0,9,8,8,9,10,9.8
secret-sunshine,81. Secret Sunshine,0,0.0,3,1.0,0,0.0,0,0.0,0,0.0,9,9,8,10,7,9.6
bicycle-thieves,82. Bicycle Thieves,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,8,10,10,8,9.8
fallen-leaves,83. Fallen Leaves,0,0.0,0,0.0,2,0.0,3,0.0,0,0.0,9,9,10,10,7,9.5
a-beautiful-day,84. A Beautiful Day...,0,0.0,3,1.0,4,0.0,2,0.0,0,0.0,6,8,10,8,5,8.8
woman-in-the-dunes,85. Woman in the Dunes,0,0.0,2,0.0,0,0.0,0,0.0,0,0.0,8,10,6,8,10,9.5
paju,86. Paju,0,0.0,2,0.0,0,0.0,0,0.0,0,0.0,9,8,7,9,8,9.2
all-we-imagine,87. All We Imagine...,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10,10,9,10,8,10.0
güeros,88. Güeros,0,0.0,4,1.0,3,0.0,4,0.0,0,0.0,7,7,7,8,8,8.5
anne-of-green,89. Anne of Green...,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,10,9,10,9,5,9.8
monos,90. Monos,0,0.0,6,1.0,4,0.0,2,0.0,7,1.0,7,5,3,7,9,8.0
norte-the-end-of,"91. Norte, the End of...",0,0.0,8,1.0,0,0.0,0,0.0,0,0.0,6,10,5,10,10,9.6
women-workers,92. Women Workers...,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9,10,8,10,7,9.5
the-girl-with-the,93. The Girl with the...,0,0.0,0,0.0,3,0.0,2,0.0,0,0.0,9,8,7,9,8,9.0
sinners,94. Sinners,0,0.0,0,0.0,4,0.0,0,0.0,4,0.0,7,6,6,8,6,7.5
hal-harper,95. Hal & Harper,0,0.0,0,0.0,2,0.0,0,0.0,0,0.0,8,7,10,8,4,8.8
riceboy-sleeps,96. Riceboy Sleeps,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,10,8,10,10,6,9.7
the-testament-of,97. The Testament of...,0,0.0,0,0.0,2,0.0,3,0.0,0,0.0,9,8,7,8,8,8.6
mississippi-masala,98. Mississippi Masala,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,9,7,9,9,5,9.0
a-place-further,99. A Place Further...,0,0.0,0,0.0,4,0.0,3,0.0,0,0.0,10,8,10,7,6,9.2
love-life,100. Love Life,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,10,8,9,7,9.3
marty-supreme,Marty Supreme (2025),2,0.0,6,0.0,4,0.0,0,0.0,9,1.0,4,2,4,6,7,5.5
frankenstein,Frankenstein (2025),0,0.0,4,1.0,6,0.0,6,0.0,2,0.0,6,6,9,7,6,8.5
im-still-here,I'm Still Here (2024),0,0.0,0,0.0,2,0.0,0,0.0,0,0.0,10,8,9,10,6,9.6
nickel-boys,Nickel Boys (2024),0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,5,10,9,10,10,9.8
oppenheimer,Oppenheimer (2023),3,0.0,4,0.0,8,0.0,2,0.0,7,0.0,4,3,3,5,7,6.5
avatar-the-way-of-water,Avatar: The Way of Water (2022),2,0.0,0,0.0,8,0.0,9,0.0,4,0.0,7,7,6,4,8,7.0
all-quiet-on-the-western,All Quiet on the Western... (2022),0,0.0,0,0.0,7,0.0,4,0.0,6,0.0,0,4,5,6,3,5.5
the-fabelmans,The Fabelmans (2022),0,0.0,2,0.0,7,0.0,3,0.0,0,0.0,7,6,8,6,5,8.2
elvis,Elvis (2022),0,0.0,7,1.0,9,0.0,8,0.0,10,1.0,2,0,3,3,4,3.0
everything-everywhere,Everything Everywhere... (2022),0,0.0,2,0.0,5,0.0,2,0.0,9,1.0,9,2,10,8,8,9.2
