Película,film_slug,Rancia,Insoport.,Control,Diorama,Caos,Resist. Fem.,Contemp.,Ternura,Humanismo,Vanguardia,Global
42. The Fallout,the-fallout,0,0,2,0,2,9,8,9,8,5,8.8
43. Disobedience,disobedience-2017,0,4*,3,1,0,9,7,8,7,6,8.5
44. Ema,ema,0,6*,5,4,6,10,4,4,6,9,8
45. Rara,rara,0,0,0,0,0,9,7,9,9,4,8.8
46. Zama,zama,2*,5*,0,0,2,6,10,5,9,10,9.5
47. Amélie,amelie,0,2,9,9,7,5,0,7,2,6,4.5
48. The Assassination...,the-assassination-of-jesse-james-by-the-coward-robert-ford,0*,5*,4,4,0,2,10,6,7,8,8.5
49. Columbus,columbus-2017,0,0,4,3,0,8,10,9,8,7,9.8
50. Little Forest...,little-forest-summer-autumn,0,0,1,2,0,9,10,9,8,5,9.5
51. The Novelist's Film,the-novelists-film,0,0,0,0,0,9,10,9,9,8,9.5
"52. Spring, Summer...",spring-summer-fall-winter-and-spring,0,0,2,0,0,4,10,8,9,7,9
53. Close Your Eyes,close-your-eyes-2023,0,0,0,0,0,6,10,9,9,8,9.5
54. Manhattan,manhattan,9*,8,3,4,0,2,6,2,3,6,5
"55. Aguirre, the Wrath...",aguirre-the-wrath-of-god,0*,8*,0,0,0,3,9,2,8,10,8.5
56. Melancholia,melancholia,0,3,4,2,0,9,9,8,8,9,9.5
57. Paterson,paterson,0,0,0,0,0,8,10,10,9,7,9.8
58. Personal Shopper,personal-shopper,0,0,2,1,0,9,8,8,8,9,9
59. The Green Ray,the-green-ray,0,3*,0,0,0,10,10,9,9,7,9.8
60. The Tree of Life,the-tree-of-life-2011,0,5*,6,4,3,8,10,9,8,10,9.2
61. Ran,ran,0,2*,1,0,0,8,9,6,7,8,9
62. The Disciple,the-disciple-2020,0,2,0,0,0,5,10,8,9,7,8.8
63. Do Not Expect Too...,do-not-expect-too-much-from-the-end-of-the-world,0,4*,0,0,5,9,6,6,10,10,9.2
64. Extraordinary Stories,extraordinary-stories,0,0,0,0,2,4,8,7,7,10,8.5
65. Pacifiction,pacifiction,2*,4*,0,0,0,6,10,5,8,9,9
67. Werckmeister Harmonies,werckmeister-harmonies,0,0,0,0,0,4,10,8,9,10,10
68. Winter Sleep,winter-sleep,2*,8*,0,0,0,9,10,5,9,7,9.2
69. Viola,viola,0,0,0,0,0,10,8,8,7,9,9.4
70. La La Land,la-la-land,1,2,8,7,2,5,3,5,2,3,5.5
66. Cha Cha Real Smooth,cha-cha-real-smooth,0,0,3,2,0,8,6,10,8,2,8.5
71. Coraline,coraline,0,0,3,4,0,9,7,8,6,9,8.8
72. Jurassic Park,jurassic-park,0,3*,7,2,4,8,6,6,5,7,7.5
73. Blade Runner,blade-runner-2049,0,0,5,7,0,4,10,6,7,9,8.5
74. The Royal Tenenbaums,the-royal-tenenbaums,0,6*,8,10,0,6,5,7,5,7,6.8
75. Triangle of Sadness,triangle-of-sadness,0,8*,4,0,5,7,6,2,4,7,7
76. Rocky,rocky,0,0,3,0,0,7,7,10,9,4,9.2
77. Crouching Tiger...,crouching-tiger-hidden-dragon,0,0,4,3,0,10,8,8,7,8,9.5
78. Psycho,psycho,0,0,8,2,0,6,7,5,5,9,8
79. The Master,the-master-2012,2*,8*,4,0,0,7,9,8,8,9,9.3
80. The End of Evangelion,neon-genesis-evangelion-the-end-of-evangelion,0*,5,0,0,8*,9,8,8,9,10,9.8
81. Secret Sunshine,secret-sunshine,0,3*,0,0,0,9,9,8,10,7,9.6
82. Bicycle Thieves,bicycle-thieves,0,0,0,0,0,6,8,10,10,8,9.8
83. Fallen Leaves,fallen-leaves-2023,0,0,2,3,0,9,9,10,10,7,9.5
84. A Beautiful Day...,a-beautiful-day-in-the-neighborhood,0,3*,4,2,0,6,8,10,8,5,8.8
85. Woman in the Dunes,woman-in-the-dunes,0,2,0,0,0,8,10,6,8,10,9.5
86. Paju,paju,0,2,0,0,0,9,8,7,9,8,9.2
87. All We Imagine...,all-we-imagine-as-light,0,0,0,0,0,10,10,9,10,8,10
88. Güeros,gueros,0,4*,3,4,0,7,7,7,8,8,8.5
89. Anne of Green...,anne-of-green-gables-1979,0,0,1,0,0,10,9,10,9,5,9.8
90. Monos,monos,0,6*,4,2,7*,7,5,3,7,9,8
"91. Norte, the End of...",norte-the-end-of-history,0,8*,0,0,0,6,10,5,10,10,9.6
92. Women Workers...,women-workers-leaving-the-factory,0,0,0,0,0,9,10,8,10,7,9.5
93. The Girl with the...,the-girl-with-the-needle,0,0,3,2,0,9,8,7,9,8,9
94. Sinners,sinners-2025,0,0,4,0,4,7,6,6,8,6,7.5
95. Hal & Harper,hal-harper,0,0,2,0,0,8,7,10,8,4,8.8
96. Riceboy Sleeps,riceboy-sleeps,0,0,1,0,0,10,8,10,10,6,9.7
97. The Testament of...,the-testament-of-ann-lee,0,0,2,3,0,9,8,7,8,8,8.6
98. Mississippi Masala,mississippi-masala,0,0,1,0,0,9,7,9,9,5,9
99. A Place Further...,a-place-further-than-the-universe,0,0,4,3,0,10,8,10,7,6,9.2
100. Love Life,love-life-2022,0,0,0,0,0,8,10,8,9,7,9.3
Marty Supreme (2025),marty-supreme,2,6,4,0,9*,4,2,4,6,7,5.5
Frankenstein (2025),frankenstein-2025,0,4*,6,6,2,6,6,9,7,6,8.5
I'm Still Here (2024),,0,0,2,0,0,10,8,9,10,6,9.6
Nickel Boys (2024),,0,0,1,0,0,5,10,9,10,10,9.8
Oppenheimer (2023),oppenheimer-2023,3,4,8,2,7,4,3,3,5,7,6.5
Avatar: The Way of Water (2022),,2,0,8,9,4,7,7,6,4,8,7
All Quiet on the Western... (2022),,0,0,7,4,6,0,4,5,6,3,5.5
The Fabelmans (2022),,0,2,7,3,0,7,6,8,6,5,8.2
Elvis (2022),,0,7*,9,8,10*,2,0,3,3,4,3
Everything Everywhere... (2022),everything-everywhere-all-at-once,0,2,5,2,9*,9,2,10,8,8,9.2
